DateTime,Location,Lattitude,Longitude,AirQualityLevel,Temperature,Humidity,HeatIndex,CO,CO2,Ethanol,NH4,Toluene,Acetone,DustDensity
02/16/2023 11:52:31,"EEE BLOCK, CHENNAI INSTITUTE OF TECHNOLOGY, Malayambakkam, Tamil Nadu 602109, India
",12.97126,80.04342,Good,27.4C,95%,33.22C,3.52 PPM,984.83 PPM,61.7 PPM,34.34 PPM,4.37 PPM,21.33 PPM,0
02/16/2023 13:54:24,No address available,0,0,Good,27.4C,95%,33.22C,3.52 PPM,984.83 PPM,61.7 PPM,34.34 PPM,4.37 PPM,21.33 PPM,0
02/16/2023 13:57:56,No address available,0,0,Good,27.4C,95%,33.22C,3.52 PPM,984.83 PPM,61.7 PPM,34.34 PPM,4.37 PPM,21.33 PPM,0
02/16/2023 14:31:18,No address available,0,0,Good,27.4C,95%,33.22C,3.52 PPM,984.83 PPM,61.7 PPM,34.34 PPM,4.37 PPM,21.33 PPM,0
02/16/2023 14:31:20,No address available,0,0,Good,27.4C,95%,33.22C,3.52 PPM,984.83 PPM,61.7 PPM,34.34 PPM,4.37 PPM,21.33 PPM,0
02/16/2023 14:53:38,No address available,0,0,Good,27.4C,95%,33.22C,3.52 PPM,984.83 PPM,61.7 PPM,34.34 PPM,4.37 PPM,21.33 PPM,0
02/16/2023 14:53:42,"X2FV 36G, SH 113, Malayambakkam, Tamil Nadu 602109, India
",12.97247,80.04329,Good,27.4C,95%,33.22C,3.52 PPM,984.83 PPM,61.7 PPM,34.34 PPM,4.37 PPM,21.33 PPM,0
02/16/2023 15:16:23,No address available,0,0,Good,27.4C,95%,33.22C,3.52 PPM,984.83 PPM,61.7 PPM,34.34 PPM,4.37 PPM,21.33 PPM,0
02/16/2023 15:40:33,No address available,0,0,Good,27.4C,95%,33.22C,3.52 PPM,984.83 PPM,61.7 PPM,34.34 PPM,4.37 PPM,21.33 PPM,0
02/16/2023 15:40:36,No address available,0,0,Good,27.4C,95%,33.22C,3.52 PPM,984.83 PPM,61.7 PPM,34.34 PPM,4.37 PPM,21.33 PPM,0
02/16/2023 15:44:15,No address available,0,0,Good,27.4C,95%,33.22C,3.52 PPM,984.83 PPM,61.7 PPM,34.34 PPM,4.37 PPM,21.33 PPM,0
02/16/2023 15:44:17,No address available,0,0,Good,27.4C,95%,33.22C,3.52 PPM,984.83 PPM,61.7 PPM,34.34 PPM,4.37 PPM,21.33 PPM,0
02/16/2023 15:44:18,No address available,0,0,Good,27.4C,95%,33.22C,3.52 PPM,984.83 PPM,61.7 PPM,34.34 PPM,4.37 PPM,21.33 PPM,0
